RIN,RateName,DateStart,TimeStart,DateEnd,TimeEnd,DayStart,DayEnd,ValueName,Value,Unit,RateType,Sector
USCA-PGXX-NB25-0000,NBT25,1/1/2027,0:00:00,1/1/2027,00:59:59,4,4,Dec Weekday HS16,0.00089,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,1:00:00,1/1/2027,01:59:59,4,4,Dec Weekday HS17,0.00098,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,2:00:00,1/1/2027,02:59:59,4,4,Dec Weekday HS18,0.00101,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,3:00:00,1/1/2027,03:59:59,4,4,Dec Weekday HS19,0.00096,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,4:00:00,1/1/2027,04:59:59,4,4,Dec Weekday HS20,0.00092,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,5:00:00,1/1/2027,05:59:59,4,4,Dec Weekday HS21,0.00090,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,6:00:00,1/1/2027,06:59:59,4,4,Dec Weekday HS22,0.00087,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,7:00:00,1/1/2027,07:59:59,4,4,Dec Weekday HS23,0.00086,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,8:00:00,1/1/2027,08:59:59,8,8,Jan Weekend HS0,0.00093,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,9:00:00,1/1/2027,09:59:59,8,8,Jan Weekend HS1,0.00091,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,10:00:00,1/1/2027,10:59:59,8,8,Jan Weekend HS2,0.00091,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,11:00:00,1/1/2027,11:59:59,8,8,Jan Weekend HS3,0.00088,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,12:00:00,1/1/2027,12:59:59,8,8,Jan Weekend HS4,0.00088,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,13:00:00,1/1/2027,13:59:59,8,8,Jan Weekend HS5,0.00088,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/1/2027,14:00:00,1/1/2027,14:59:59,8,8,Jan Weekend HS6,0.00092,Export $/kWh,TOU,ALL
